Datetime,T_amb,T_20cm,T_30cm,T_10cm,Humidity,v_wind,dir_wind,P_atm,R_Wm2,dir_wind_(bin),dir_wind_(discrete),v_max,dir_max,v_min,dir_min,v_wind_rd,v_max_rd,v_min_rd
2021-07-11 18:00:00,-2.170313721666666,0.396875,0.9375,6.396875,36.03554784000001,15.755298992605237,41.7543631053546,0.5993752483333332,0.0,NE,52.5,19.3121,29.0,12.07,34.0,15,20,10
2021-07-11 19:00:00,-2.4879553549999995,0.50625,0.9375,5.880208333333333,39.444742790000014,17.84111553908323,39.28674053588199,0.5990058233333333,0.0,NNE,30.0,21.7261,29.0,13.2771,33.0,20,20,15
2021-07-11 20:00:00,-2.493139081666667,0.6572916666666667,0.9375,4.93125,40.67078649499999,16.732087841907536,49.876184206109286,0.5993013633333331,0.0,NE,52.5,19.3121,46.0,13.2771,74.0,15,20,15
2021-07-11 21:00:00,-2.6684946216666665,0.8145833333333333,0.9375,3.85625,40.73728938333333,18.45106733781261,58.75624310725112,0.5992274783333331,0.0,NE,52.5,21.7261,69.0,13.2771,47.0,20,20,15
2021-07-11 22:00:00,-2.973266356666667,0.9739583333333334,0.9375,2.8385416666666665,41.52718603333333,20.096101688029243,56.67301772569718,0.5991289649999999,0.0,NE,52.5,21.7261,61.0,16.8981,52.0,20,20,15
2021-07-11 23:00:00,-3.4414165599999995,1.1145833333333333,0.9375,1.9020833333333333,43.138641308333334,19.087342111426242,53.01425712678271,0.5988334249999998,0.0,NE,52.5,24.1401,59.0,14.4841,62.0,20,25,15
2021-07-12 00:00:00,-4.2924528933333335,1.2239583333333333,0.9385416666666667,1.071875,45.5014648,18.920724051325806,53.177578777539566,0.5981930883333334,0.0,NE,52.5,22.9331,40.0,15.6911,48.0,20,25,15
2021-07-12 01:00:00,-3.881503125,1.30625,0.953125,0.328125,45.41372675833334,22.216516445879208,26.30568767038352,0.5979221766666668,0.0,NNE,30.0,27.7611,18.0,16.8981,47.0,20,30,15
2021-07-12 02:00:00,-3.392081465000001,1.3708333333333333,0.96875,-0.31354166666666666,46.668380685,22.20884251851949,19.003784724404085,0.597946805,0.0,NNE,30.0,26.5541,26.0,18.1051,17.0,20,25,20
2021-07-12 03:00:00,-3.138611351666668,1.375,0.9916666666666667,-0.8291666666666667,49.14717097000001,22.37373464073915,21.397109856196096,0.5982177166666667,0.0,NNE,30.0,27.7611,22.0,19.3121,24.0,20,30,20
2021-07-12 04:00:00,-2.859580308333333,1.375,0.9979166666666667,-1.1729166666666666,49.715942331666675,24.86646135259753,25.082855919365983,0.5980699466666667,0.0,NNE,30.0,31.3821,16.0,16.8981,23.0,25,30,15
2021-07-12 05:00:00,-2.652585866666668,1.3666666666666667,1.0,-1.40625,49.89917495666666,24.845578679128135,23.220559546839183,0.5981192033333333,0.0,NNE,30.0,36.2102,20.0,20.5191,35.0,25,35,20
2021-07-12 06:00:00,-2.5110143216666674,1.3125,1.0,-1.5822916666666667,50.73027033999999,24.299599967302292,17.445551145788613,0.5982177166666666,0.0,N,7.5,38.6242,28.0,15.6911,14.0,25,40,15
2021-07-12 07:00:00,-3.541517400000001,1.2572916666666667,1.0,-1.7104166666666667,54.64847305999999,17.514545658320372,20.812796667845163,0.5981930883333333,0.0,NNE,30.0,22.9331,20.0,12.07,34.0,20,25,10
