Datetime,T_amb,T_20cm,T_30cm,T_10cm,Humidity,v_wind,dir_wind,P_atm,R_Wm2,dir_wind_(bin),dir_wind_(discrete),v_max,dir_max,v_min,dir_min,v_wind_rd,v_max_rd,v_min_rd
2021-04-11 07:00:00,0.5320528766666667,9.627083333333333,9.6875,4.772916666666666,11.548624626666667,13.764105322136544,38.72946890076571,0.6008283199999997,0.0,NNE,30.0,16.8981,53.0,12.07,29.0,15,15,10
2021-04-11 07:30:00,0.8924166233333334,9.625,9.6875,4.477083333333334,10.243998170000003,13.396499378290583,45.006768917485545,0.6004835233333332,0.0,NE,52.5,16.8981,57.0,10.863,43.0,15,15,10
2021-04-11 08:00:00,34.72796307999999,9.566666666666666,9.6875,4.195833333333334,9.178934683333331,14.9373213434791,46.87938783510177,0.60082832,3.844900666666667,NE,52.5,16.8981,51.0,13.2771,47.0,15,15,15
2021-04-11 08:30:00,2.418240306666667,9.54375,9.6875,3.91875,8.086405389999998,10.273013158313493,43.655028781082024,0.6020597366666667,182.14402320333335,NE,52.5,13.2771,36.0,8.449,48.0,10,15,10
2021-04-11 09:00:00,5.620397139999999,9.497916666666667,9.6875,3.6395833333333334,6.993113149999999,3.867266219530862,40.78943220328131,0.60511365,384.03388464333324,NNE,30.0,8.449,34.0,0.0,48.0,5,10,0
2021-04-11 09:30:00,4.239719473333333,9.445833333333333,9.6875,3.3958333333333335,10.641743923333335,2.29284979513836,49.78943187366738,0.60673912,529.2277750366668,NE,52.5,4.828,49.0,0.0,48.0,0,5,0
2021-04-11 10:00:00,4.960803299999999,9.39375,9.6875,3.2333333333333334,10.70583084,3.4838800711544713,269.7532097204008,0.6078720233333333,618.6380065566666,W,277.5,8.449,244.0,1.207,48.0,5,10,0
2021-04-11 10:30:00,6.333258633333334,9.339583333333334,9.6875,3.1979166666666665,9.71909582,5.3114630229864055,282.24584808102134,0.6083645833333334,664.3857726333333,W,277.5,12.07,338.0,1.207,258.0,5,10,0
2021-04-11 11:00:00,41.059345713333336,9.2875,9.6875,3.325,7.480631453333332,10.709010635958538,348.0166052125444,0.6093004266666665,706.2235066033332,NNW,345.0,18.1051,351.0,6.035,317.0,10,20,5
2021-04-11 11:30:00,9.251200429999999,9.233333333333333,9.6875,3.60625,6.31002803,17.042991553082587,346.82709315927724,0.6094481933333334,754.4476928033333,NNW,345.0,31.3821,360.0,9.656,314.0,15,30,10
2021-04-11 12:00:00,9.962274006666664,9.175,9.6875,4.029166666666667,6.04096471,18.33231012994963,352.58512248251793,0.6092019166666668,798.5663186866664,NNW,345.0,25.3471,352.0,9.656,352.0,20,25,10
2021-04-11 12:30:00,10.377335553333333,9.108333333333333,9.6875,4.583333333333333,5.333719833333332,20.169836446950733,345.25193211756334,0.6089556533333335,833.4962238999996,NNW,345.0,28.9681,329.0,14.4841,331.0,20,30,15
2021-04-11 13:00:00,11.172779796666665,9.039583333333333,9.6875,5.227083333333334,5.308797150000002,22.96647989831672,351.8674126477216,0.6089556566666668,856.6308328499998,NNW,345.0,32.5891,344.0,12.07,348.0,25,35,10
2021-04-11 13:30:00,11.979665340000002,8.98125,9.6875,5.939583333333333,4.812632196666667,21.389638285098613,345.8569509670915,0.6090541599999999,861.3229145566664,NNW,345.0,36.2102,342.0,9.656,355.0,20,35,10
2021-04-11 14:00:00,12.395441393333332,8.922916666666667,9.6875,6.714583333333334,4.934702506666667,22.045162422436754,344.4216559449567,0.6092019233333333,844.0534179066667,NNW,345.0,37.4172,332.0,8.449,8.0,20,35,10
2021-04-11 14:30:00,13.206973726666664,8.866666666666667,9.689583333333333,7.525,4.276540073333333,32.584339014315155,347.3861161932383,0.60900491,816.0964456433335,NNW,345.0,45.8662,327.0,22.9331,360.0,35,45,25
2021-04-11 15:00:00,12.954218749999999,8.808333333333334,9.689583333333333,8.345833333333333,5.139933216666667,26.050314624873966,336.43507019104294,0.6088571433333334,774.3890542966666,NNW,345.0,41.0382,333.0,13.2771,336.0,25,40,15
2021-04-11 15:30:00,13.161928516666666,8.75,9.689583333333333,9.152083333333334,4.850779166666666,25.66864748246583,332.2866929237596,0.6089063966666667,732.35581252,NW,322.5,39.8312,310.0,15.6911,320.0,25,40,15
2021-04-11 16:00:00,12.785834703333334,8.702083333333333,9.689583333333333,9.933333333333334,4.642751013333334,27.272208278214684,332.91122459716235,0.6089064000000002,691.1045755333333,NW,322.5,45.8662,329.0,10.863,0.0,25,45,10
2021-04-11 16:30:00,12.866273076666667,8.677083333333334,9.6875,10.6625,4.939280143333334,29.6050792080818,352.2876914593269,0.60944819,645.2916116666664,NNW,345.0,38.6242,334.0,18.1051,330.0,30,40,20
2021-04-11 17:00:00,12.329303436666669,8.629166666666666,9.6875,11.320833333333333,5.209869336666667,27.925028926355683,352.9779038581082,0.6097929666666666,573.0857177466668,NNW,345.0,37.4172,355.0,14.4841,355.0,30,35,15
2021-04-11 17:30:00,11.904232100000003,8.625,9.6875,11.89375,38.29074295666667,26.817490791740024,355.51920605691464,0.6095466999999999,455.6533050233333,NNW,345.0,35.0031,0.0,16.8981,9.0,25,35,15
2021-04-11 18:00:00,11.463787646666665,8.625,9.6875,12.364583333333334,5.801401716666665,25.314684949623228,354.8669106096839,0.6099899799999999,290.7135879033333,NNW,345.0,33.7961,351.0,16.8981,355.0,25,35,15
2021-04-11 18:30:00,10.64653506,8.625,9.6875,12.735416666666667,39.12158401333332,21.82269511625521,353.40193979408775,0.60930043,139.19843871666663,NNW,345.0,31.3821,0.0,15.6911,360.0,20,30,15
2021-04-11 19:00:00,9.124286469999998,8.625,9.6875,12.991666666666667,40.40993443666667,19.641373567965527,355.57912945510543,0.6078720200000002,20.267188749999995,NNW,345.0,26.5541,0.0,13.2771,352.0,20,25,15
2021-04-11 19:30:00,6.677891873333334,8.635416666666666,9.6875,13.13125,9.905253036666666,11.288302643392903,10.927203595456376,0.6049166233333333,0.0,N,7.5,14.4841,352.0,8.449,22.0,10,15,10
2021-04-11 20:00:00,4.893950876666668,8.685416666666667,9.6875,13.154166666666667,11.953236843333332,13.64580702373757,39.9811502048789,0.6042762866666668,0.0,NNE,30.0,20.5191,52.0,9.656,33.0,15,20,10
2021-04-11 20:30:00,4.695178683333334,8.720833333333333,9.6875,13.045833333333333,12.149057970000001,17.376555684992827,42.15124357074333,0.6042762866666667,0.0,NE,52.5,20.5191,40.0,14.4841,45.0,15,20,15
2021-04-11 21:00:00,3.792125393333334,8.764583333333333,9.6875,12.829166666666667,12.810272169999996,16.300975130315024,42.33997160782218,0.6038329766666667,0.0,NE,52.5,18.1051,40.0,14.4841,35.0,15,20,15
2021-04-11 21:30:00,3.3520390300000007,8.822916666666666,9.6875,12.51875,10.272481233333334,15.973439735807816,57.647205358041006,0.6040792600000001,0.0,NE,52.5,20.5191,52.0,13.2771,74.0,15,20,15
2021-04-11 22:00:00,3.23692291,8.879166666666666,9.6875,12.141666666666667,8.985656693333334,15.926168643457292,52.25148378020309,0.6038329766666667,0.0,NE,52.5,18.1051,51.0,12.07,52.0,15,20,10
2021-04-11 22:30:00,3.1604168633333325,8.95,9.68125,11.725,8.203389436666667,15.682277786135414,50.60297647226869,0.6039807466666668,0.0,NE,52.5,19.3121,55.0,13.2771,53.0,15,20,15
2021-04-11 23:00:00,3.046374073333332,9.014583333333333,9.672916666666667,11.277083333333334,7.746643013333331,14.446360194031664,60.49202312693147,0.6038822333333335,0.0,NE,52.5,16.8981,71.0,12.07,69.0,15,15,10
2021-04-11 23:30:00,3.0120533700000007,9.075,9.641666666666667,10.816666666666666,7.362121533333332,12.262621526569232,63.55864211339616,0.6036852066666667,0.0,NE,52.5,15.6911,52.0,10.863,80.0,10,15,10
2021-04-12 00:00:00,2.8819226099999997,9.1375,9.6375,10.352083333333333,7.488515163333333,8.242375925306861,52.864369407340234,0.6037344633333334,0.0,NE,52.5,14.4841,61.0,0.0,42.0,10,15,0
2021-04-12 00:30:00,2.4225307,9.204166666666667,9.625,9.891666666666667,8.648437453333335,12.155362280333224,60.89601787133748,0.6029956133333333,0.0,NE,52.5,16.8981,54.0,4.828,84.0,10,15,5
2021-04-12 01:00:00,2.4768710633333333,9.260416666666666,9.625,9.427083333333334,7.261159199999997,17.068375983458655,49.42909670742915,0.6031433833333334,0.0,NE,52.5,21.7261,50.0,12.07,55.0,15,20,10
2021-04-12 01:30:00,2.9022998300000014,9.3125,9.625,8.96875,6.892659446666667,20.48818928784172,48.0562976033529,0.60334041,0.0,NE,52.5,24.1401,46.0,16.8981,48.0,20,25,15
2021-04-12 02:00:00,2.8661923200000006,9.366666666666667,9.625,8.527083333333334,6.9124958900000015,19.46112943906701,54.80182212166591,0.6030448699999998,0.0,NE,52.5,22.9331,53.0,16.8981,51.0,20,25,15
2021-04-12 02:30:00,2.4296803300000005,9.395833333333334,9.625,8.097916666666666,7.630676226666665,18.836012529934308,63.02410021229214,0.6026508166666666,0.0,NE,52.5,20.5191,58.0,16.8981,63.0,20,20,15
2021-04-12 03:00:00,2.480445940000001,9.4375,9.625,7.697916666666667,7.697306263333335,16.554990408991436,70.67729254969505,0.6024045333333333,0.0,ENE,75.0,18.1051,69.0,14.4841,73.0,15,20,15
2021-04-12 03:30:00,2.3892826800000004,9.458333333333334,9.625,7.325,7.607025096666664,19.13983764565595,59.961020397919015,0.6023060199999999,0.0,NE,52.5,21.7261,62.0,12.07,54.0,20,20,10
2021-04-12 04:00:00,1.8201373666666663,9.5,9.625,6.96875,7.925679480000001,11.998372139910096,18.719439063969105,0.6019612233333331,0.0,N,7.5,19.3121,53.0,9.656,18.0,10,20,10
2021-04-12 04:30:00,2.3338695066666673,9.5,9.625,6.622916666666667,7.799794479999999,9.966171094573559,13.10075327243328,0.6020104799999999,0.0,N,7.5,13.2771,9.0,7.242000000000001,16.0,10,15,5
2021-04-12 05:00:00,1.824784816666667,9.5,9.625,6.28125,8.263915966666666,4.952068870928773,7.0548141934033595,0.6016164266666666,0.0,N,7.5,9.656,12.0,0.0,0.0,5,10,0
2021-04-12 05:30:00,0.9742852333333332,9.5,9.625,5.945833333333334,8.563751173333333,8.27712116453825,31.04519105562983,0.6009760899999997,0.0,NNE,30.0,13.2771,34.0,1.207,7.0,10,15,0
2021-04-12 06:00:00,1.5838275533333326,9.5,9.625,5.595833333333333,8.688618923333333,12.74053938617359,42.34900101486048,0.6016164266666665,0.0,NE,52.5,16.8981,46.0,8.449,17.0,15,15,10
2021-04-12 06:30:00,1.4694268233333332,9.497916666666667,9.625,5.241666666666666,9.752410840000001,12.81880509769446,45.23263464576638,0.6018134533333332,0.0,NE,52.5,15.6911,46.0,9.656,39.0,15,15,10
2021-04-12 07:00:00,1.2831674966666666,9.48125,9.625,4.8875,10.130574486666665,15.066654617633699,76.73861041980737,0.6017149399999998,0.0,ENE,75.0,20.5191,74.0,9.656,50.0,15,20,10
2021-04-12 07:30:00,0.44946951000000007,9.4375,9.622916666666667,4.5375,9.575154566666663,19.71154995015497,80.54359800753899,0.6016656833333331,0.0,ENE,75.0,24.1401,86.0,12.07,68.0,20,25,10
2021-04-12 08:00:00,1.1390938700000002,9.435416666666667,9.625,4.204166666666667,9.144348099999998,15.040396365924737,82.57994200785568,0.6019119666666665,4.301075333333333,ENE,75.0,18.1051,83.0,12.07,88.0,15,20,10
2021-04-12 08:30:00,2.2198262066666667,9.377083333333333,9.625,3.90625,8.006805373333332,14.3984845717582,82.42039110637222,0.6033896666666667,179.66764826333335,ENE,75.0,16.8981,81.0,10.863,76.0,15,15,10
2021-04-12 09:00:00,3.0167006900000004,9.360416666666667,9.625,3.620833333333333,75.51234329666666,2.8983116332971406,173.5260003893272,0.6055077033333333,379.73281042333326,SSE,165.0,13.2771,80.0,2.414,216.0,5,15,0
2021-04-12 09:30:00,3.9286916866666663,9.3125,9.625,3.3916666666666666,10.187794956666668,4.494773386316259,223.0747331400899,0.6074779699999999,528.3805918066668,SW,232.5,8.449,226.0,0.0,216.0,5,10,0
2021-04-12 10:00:00,4.3362455466666665,9.2625,9.625,3.245833333333333,10.124725286666667,6.284229781723481,222.2327019236316,0.6083153266666667,618.7031737966666,SW,232.5,8.449,218.0,2.414,219.0,5,10,0
2021-04-12 10:30:00,6.712569763333334,9.2125,9.625,3.222916666666667,41.67463373666667,4.527305275538097,251.2999063717923,0.6099407299999999,664.7767821433335,WSW,255.0,8.449,253.0,1.207,247.0,5,10,0
